body,rating
استفاده میکنم. راضی ام. سالمه. ,5
بسته‌بندی عالی بنظر کیفیت هم خوب باشه,5
خوب بود بسته بندی و چیپ ست اکی بود,4
رم سالمه ولی کالا استوکه,3
چیپ هاینیکس بگیرید.,5
خوب بود. بدون مشکل نصب و شناخته شد,4
من برای اچ پی ۶۳۰ نصب کردم جواب داد,4
خوب,3
از دی جی نخرید تو بازار ارزون تره,1
با کیفیت,5
نصب کردم سیستم شناخت، و تو نرم‌افزار‌هایی‌ که رم تاثیر داره، سرعت به طور محسوس اضافه شد,4
عالی بود و سازگار,5
اول اینکه یه مدل دیگه فرستادن ولی زیاد فرقی با رم  قبلیم نداشت وسازگار شد و در ضمن پلمپ نبود و با منگنه یه طوری مثلا پلمپ کرده بودن، در کل جنسش خوبه و مشکلی نداره,4
عالی,5
خوب بود و کارمو راه انداخت.,4
سالم بود ولی پک قبلا باز شده بود. و با نوار چسب پول بسته بودنش,3
راحت نصب شد و مشکل خاصی نداشت. بسته بندی هم خوب بود. ارتقا رم و نصب ویندوز روی هارد ssd در افزایش سرعت کامپیوتر خیلی موثره,5
عالی,4
توضیح خاصی نداره ،، وهم این بود که سالم باشه که تست گرفتم سالم بود,4
برای لپ تاپ 15.6 عالیه ,4
سالم بود.کیفیت خوبی داره‌.سایز مناسب بود,4
خوب,4
کیفیت بسیار بالایی داره,5
اصلا خوب نیست نخرین,1
خیلی خوبه و کیفیت خوبی داره اندازش هم مناسبه,5
خوب بود,3
یه چیز مینیمال و جذاب,5
مثل خود عکس,5
کیفیت خوب و مطلوبی دارد . ولی یکم کوچک است,4
اگر روزی تصمیم به برداشتن آن کنید چسب آن اصلا کنده نمی شود و خیلی اذیت می کند.,1
خوبه بخرید,5
کیفیت میتونست بهتر باشه,4
عالی هست سایز و رنگ,5
خوب بود کیفیت خوبی داشت,5
کاش ابعادشونم مینوشتید ولی در کل عالی بودن,4
خیلی خوبه,5
عالی,5
"به شدت بی کیفیت 
گول عکس رو نخورید",1
جنسش خوبه کاغذی نیست ,5
عالی,5
چسب گوشه هاش ضعیفه,4
بسیار عای و ضد آب هزار بارم بکنی بچسبونی. جوابه ,5
خوب بود,5
جنسش عالی و سبک هست,3
قسمت نگهداری لپتاپ ناکافی بود و ابر نازک و کمی داشت مرجوع کردم,2
انتظار به جیز بهتری داشتم یه کم تو‌ ذوقم خورد مرجوع نکردم ولی به هر حال منفاوت از عکسه,1
از خریدم در دیجی پشیمون شدم و مرجوع کردم. دیجی قیمتش خیلی بالا و اصلا به صرفه نیست,1
ارزش این قیمت و تخفیف زیاد رو نداره,3
عالی,4
ضربه گیر داره ۵ طرف کیف.محفظه مخصوص لپتاب داره.جادار و بزرگ و سبکه,5
خیلی ساده و زیباست . همه جا به کار میاد و نسبت به قیمتش واقعاً می ارزه,5
محفظه مخصوص لپتاب داره که ۵ طرفش ضربه گیر داره.کیفیت عالی و درجه یک,5
طراحی خوبی داره.جنس با کیفیت ک کاملا مرغوب و بادوامه,5
زیپ های خیلی با کیفیت داره که از پارچه برزنتی ساخته شده  در برابر رطوبت و ضربه مقاوم هست 👍,5
"کوله خوب و کاربردی ای بود.
جا زیاد داره و در عین حال مقاومه.
دوتا نوار اسفنجیم برای راحتی بیشتر داره.",5
طراحی زیبا و خوش دوختی دارع. بسیار جا دار و محکمه. بندهای باکیفیت و بادوامی داره و انتظار طول عمر زیاد رو میتونید ازین کوله داشته باشید.,5
کوله پشتی زیبا و مقاومیه. بسیار جا دار و زیپ های راحت و روانی هم داره. ضربه گیر داره و حفاظت خوبی از لپ تاپ به عمل میاره.,5
سبک و بسیار جادار و در عین حال مقاوم هست دو تا نوار اسفنجی برای راحتی بیشتر در زمان حمل داره,5
"این کوله پشتی بسیار کاربردی هست پیشنهادش میکنم  که بخرید.
بدنه‌ اشم دربرابرد آب و ضربه مقاومه.",5
جادار و با کیفیت.همه جاش ضربه گیر داره تا لپتاب آسیب و صدمه نبینه,5
خیلی سبک و جادار هس.واقعا ارزش خرید داره.من راضیم ازش چون ضربه گیر داره همه طرفش,5
کوله پشتی ضد ضربه داره همه طرفش و پد ضدتعریق داره ک عالیه.برای کوهنوردی خیلی مناسبه,5
ظاهر بسیار شیکی ای داره طراحی زیبا جنس عالیه ضد آب فوق العاده ست پیشنهادش میکنم.,5
عالی,5
"استیکرا برش خورده نیست
باید با قیچی ببرید ک سخته بخاطر اشکالش",4
نسبت به قیمتش کیفیت پایینی داره,3
خیلی خوشگله کیفیت و سایز خوبی داره ولی برش خورده نیست,3
طرح های زیبا,4
کیفیتشون خوبه,5
قشنگ ,5
کيفيت نسبتا حوبی داره ,4
هر چی از خوشگلی و کیفیت و همچنین قیمت مناسبش بگم کمه,5
خیلی قشنگنجنسشونم‌خوبه,5
پک استیکر خیلی کیفیت قشنگی داشت و راحت میچسپه به جایی که میخوای ,5
سایز مناسب برش دقیقی داره,4
استیکر اگه برش نخورده باشه ارزش نداره. چون دورشون یک تیکه نیست، اگه بخواین با قیچی برش بزنید کامل و تمیز درنمیاد. توی نظرات و عکس‌های خریداران دیگه، برای هرکس یه مدل متفاوت ارسال شده، برای بعضیا رنگش تیره‌ست و کوچک، برای بعضیا برش زدن برای بعضیا یه تیکه‌ست... انقدر رندوم بودن خوب نیست!,2
چاپ و جنس خیلی بد رنگش رفته,1
کیفیت خیلی خوبی داره و طرحاش دقیقا مثل عکس پررنگ هست .,5
قشنگه,4
فوق العادس جنسش,5
خوب و قشنگ و با کیفیت بودنچسبشون هم خوب بود,5
عالی بود سایزشونم بزرگ بود,5
"یه تکه برچسب برش نخورده 
زحمت اینکه برش بزنن به خودشون ندادن",1
عالی,4
خیلی خوشم اومد,5
می ارزید با این قیمت,1
خوب بود,3
سایز دکمه هاش یه ذره عجیب بودن,1
خیلی قشنگ بود دوسش داشتم کلی ممنون دیجی کالا,5
عالیه,5
باحالن خیلی لبتاپو خشگل میکنه,5
خیلی جالبه من برای لپ تاپ 14اینچی گرفتم از لبه هاش کوچیک کردم قشنگ شد,4
بد نیست خوبهکادو گرفتم خوشش اومد,4
همه چی خوبه اما من مات دوست داشتم این براقه,4
طرحش همچین با کیفیت نبود ,3
جالب نبود,3
اندازه لبتاب نبود..نمیتونم استفاده کنم,2
رنگش زود رفت متاسفانه، ولی قشنگه,3
زیباست اما استیکر های کیبرد کمی برای لپ تاپ ما کوچک بود,4
عالی بود و خیلی خوب,5
خیلی خوب و خوشگل شد لپ تاپم ,5
خیلی گوگولیه,5
خیلی طرحش قشنگه ,5
خیلی قشنگه و برش و جنس خوبی هم داره,5
کوچیکه خوبه,4
خوب بود ,3
قشنگه خوشم اومد,0
عالی,5
خوب,4
عالیه و فقط این دو تا از هم جدا هستن,5
زیبا        ,3
داخل کابین زدم,5
کیفیت عالی و طرح قشنگی بود,5
خریداری کنید,5
کلا یه ۵ سانتی هست، کوچکه ولی کیوت,3
کیفیت خوب و عالی ,5
خیلی ریزه خوشم نیومد,2
تو عکس بزرگ دیده میشه ولی خیلی کوچیک هست در حد سه بند انگشت,2
در کل برچسب خوبیه من زدم پشت گوشی ,5
خوب بود ,3
جنسش خوب بود ولی کوچیک بود,4
کیفیتش خوب بود,4
عالی بود ممنون ,4
با این قیمت بالا یه کابل یو اس بی هم داخل جعبه نذاشتن؛  ولی در کل فن خوبیه,4
خوبه ولی قیمتش بالاس,4
"لبتابم 15/7 اینچه و کاملا اندازه ست
اونقدر بی صداست که لب تاب رو گذاشتم روش داشتم کابل رو وصل می کردم فکر می کردم روشن نشده
هر 6 فن با هم کار می کنن",5
خیلی عالی عالی هستش,5
"در کل جنس خوب بود و روی صفحه کامله و تکون نمیخوره . ولی اگر برای نوشته های فارسیش میخواید فقط. باید بگم که درست نیست . 
نکته دیگه که نور کیبورد اگر خیلی براتون مهمه مشخص نمیشه . ولی به طول کلی حس تایپ خوبی داره و گرد و خاک داخل کیبورد نمیره 
داخل نظرات خوندم ممکنه رد بندازه روی صفحه مانیتور هنوز امتحان نکردم ولی امیدوارم که اینجوری نباشه",3
اشتباه ارسال شد,1
مک بوک پرو 2022 - 13.3 اینچ رو کامل کاور کرد و واقعا خوبه,5
خوب بود فقط جای حرف د ر درست نبود.,5
یک قسمت بالایی محافظ اضافه بود و دقیقا روی لپ تاپ قرار نمیگرفت,4
خوبه ,4
خوبه ولی نور زیر کیبورد رو نمیشه دید و شبا اصلا کلمات رو نمیشه دید,4
این محصول برای مک پرو ۲۰۲۲ سیزه اینچ مناسب نیست. و کیبوردش متفاوته. ولی از لحاظ کیفیت اوکیه,1
خوبه دیگه....چیز خاصی نداره...محافظ کیبرده معمولی مثل بقیه محافظ کیبورد ها,5
عالیبود,5
کاملا با کیفیت و با قیمت مناسب بود,5
خیلی عالی بود ممنون,5
خوب بود,4
بد نیست کارتو راه میندازه ,4
مورد قبول است.,4
عالی بود,5
خیلی نازک و جنس معمولی دارد,2
کیبورد استاندارد فارسی نیست,1
واقعا عالی بود برای مک بوک m2 13 اینچجای تاچ بار هم برش خورده,5
"قیمتش نسبت به بازار بهتر بود
حروف فارسی داره و به نظر خوبه!",4
بسیار با کیفیت و جادار و شیک,5
در کل بد نیست . خوشگله,4
عالیخرید کنیدواقعا مثل عکس هست,5
"مثله عکسشه
راضی ام",5
خوبه ارزش خرید داره,4
پیشنهاد میکنم اگ لازم دارین همینو بخرین قیمتشم عالیع,5
Great,2
"خیلی جادار و قشنگه مثل عکسشه
لپ تاپ من ۱۵.۴ اینچ هست راحت جا شد، حتی بزرگترم جا میشه
 فقط بسته بندی نامناسب دیجی کالا باعث شده له بشه ...",5
خیلی سبک،جنس خوبی هم دار,5
طول کیف حدود ۳۱ سانته و دوستانی که قد بلندی دارن با درشت هیکل هستن باید به این نکته توجه داشته باشن. به نسبت هزینه‌ای که پرداخت کردم هم کیفیتی ندیدم. به محض دریافت فقط حس کردم پول برند رو دادم. کیفیت پارچه و دوخت شبیه یه برند فرانسوی نبود.,3
کیف خوبیه ولی به این قیمت نه ,4
"کیفیت کیف خیلی خوبه و جمع‌وجور و قشنگه. اما اونقدر طبق انتظارم جادار نبود که مثلا به‌راحتی بشه ظرف غذا گذاشت توش.
با اینکه تو دوران شلوغ بلک‌فرایدی سفارش دادم ولی فروشنده خیلی زود برام ارسال کرد و تجربه خوبی از ارسال فروشنده داشتم.",5
کیفیت اش خیلی خوبه,5
در مورد محصول نمیتونم نظری بدم چون فروشنده کالا رو ارسال نکرد بلکه گزینه ارسال شد رو تیک کردن و بدترین تجربه ی خرید من بود,1
من چند ماهه که این کیف رو خریدم ، خیلی ازش راضیم ، همه چیم توش جا می شه، اگه شک و تردیدی روی این کیف دارید من بهتون پیشنهاد می دم منع نکنید ، ممنون از فروشنده خوب دیجیکالا .,5
فروشنده با دقت زیاد با من تماس گرفتن تا آدرس رو چک بکنن، در طول روز هم دوبار تماس گرفتن که ساعت رسیدن کالا رو اعلام بکنن. کیف دقیقا همون موقع که فرموده بودند رسید. همون روز هم رسید.,5
چند ماهه دارم استفاده می کنم آخ نگفته خیلی با کیفیته,5
بسیار شیک هست و ترکیب رنگ زیبایی داره و با گارانتی خوبی ارائه میشه,5
بسيار تميز و سايز مناسب ,5
به شدت با کیفیته و سکشن بندی خوبی داره،سبک و جاداره,5
زیبا، مثل عکس موجود، با کیفیت و جادار,5
واقعا کیف عالی و زیباییهممنون از فروشنده و دیجی کالا,5
"سلام من چند هفته ای که این کیف رو خریدم 
خیلی گشتم واقعا تا یه مدل جم و جور و جادار و سازگار با لبتاب ۱۵.۶ پیدا کنم 
به نظرم واسه کسایی که یه کیف لب تاب برا سرکار یا کتابخونه میخوان که دوتا کتاب و وسایل دیگه هم با خودشون حمل کنن عالیه 
از نظر جنس هم واقعا برند دلسی عالیه و ظاهر شیکش هم ادمو راضی میکنه . ",0
"در کل کیفیت و ظاهر زیبایی داره
اما فضای زیادی ندارد
لپ تاپ 15.6 فیت هست براش و بزرگ تر جا نمیشه.
",3.23
کوله خیلی خوب و جاداری هست، و در عین حال خیلی باریک به نظر میاد. طراحی داخلش خیلی باحاله و جای پاوربانک و کابل یو اس بی و سیم هدفون و .... داره.,5
در کل قابل قبول بود.هرچند کلا با این قیمت ها، انتظار آدم فراتر هست.,0
خرید خوبی بود اگه قصد خرید رم مناسب و با کیفیت داری بدردت میخوره,4
خوبه,4
عالی,5
سرعت لپ تاپ به نحو محسوسی بالا رفته و گارانتی هم درست و کالا آکبند بود. با تشکر,5
با یک هارد اس اس دی خریدم سرعت لود شدن ویندوز خوب شده. اگر افت کیفیت توی چندماه آینده نداشته باشه خوبه,3
راضیم ازش ،کار راه انداز بود,5
دارای گارانتی اصلی بود,5
عالی,5
عالی,5
خیلی عالی سرعت کامپیوتر خدا اینترنت موجود فضایی,5
مثل همیشه عالی فقط زمان تحویل رو کاهش بدید لطفا.بسته بندی فوق العاده,5
قیمت مناسب و گارانتی خوب,4
هم گارانتی عالی و هم رم خوب و قیمت مناسب,5
خیلی معمولیه,3
قشنگ بودش ازش راضی بودم خوبم هستش که راحت جدا میشه بعدا بخوام راحت میتونم عوض کنم,5
جذاب و کاربردی,5
عالیه رنگ صورتی ملیح و قشنگی داره,5
زیبا,5
خیلی خوبه انتظارمو‌براورده کرد,4
خیلی جنسش خوبه و قشنگه,5
خیلی کیوت ناز,5
کیفیتش خوبه,5
عالی خیلی کیوت شده لب تاب ام مرسی,5
عالی,3
خیلی قشنگ بود.,4
عالی بود از نظر رنگ و اندازه,4
قشنگ و بانمکن,4
"من که خیلی خوشم اومد،فقط کیبوردش بعضی کلید هامو نداشت
پد ملوس ستش هم گرفتم",5
بی نهاییییییییت خوشگله من عاشقش شدم اما صورتی نیست یه حالت گلبهی خیلییییی کمرنگ رو دارهخیلی نازه خیلیی,5
با کیفیت بود من‌دوست داشتم,3
كيفيتش خوب نبود همش ب هم ميچسبيد ب زور چسبوندم,2
خ  کیوته ,5
خوب بود,3
عالی,5
نسبت به برچسب های دیگه ارزون تره و چسب جنس و طرحش هم خوب بود ولی با عکس متفاوت بود (تو عکس شب پرستاره دو تیکه داره ولی وقتی فرستادن تیکه دوم اون نقاشی رو عوض کرده بودن ),5
واقعا عالی بودن یکم طرحا فرق داشت ولی از کیوت بودنش چیزی کم نشد,5
کیفیت چاپشون خوب نبود ,3
کیفیت چاپشون خوب نبود ,3
عالی وخوب,5
"اونطور که میخواستم نبود اصلا مطابق عکس نبود ، تو ژورنال دوتا شب پرستاره هست و پرتره دو قسمتی هست اما برا من یکی بود. ولی درکل نسبت به قیمت قشنگن و راضیم
کیفیت خود برچسب خیلی خوب بود چاپ عالی و باکیفیت ، یه جورایی انگار برجسته و ناهمواره که نشون میده درطول زمان تغییر رنگ نمیده 
به کسایی که به هنر علاقه دارن پیشنهاد میکنم فقط قبل خرید به فروشنده و عکس های خریداران دقت کنید",3
پشتش هم چسب داره میشه ب گوشی چسبوند پیشنهاد میکنم واقعا,5
برچسب های خوبی هست ,4
نسبت به قیمت خوبه کیفیت تصویرشم عالیه,5
سایز خیلی کوچیکه نه تا عکس چسبیده ب هم هستن جدا نیستن خیلی کوچیک هم هست,1
اگه دوست دارین بخرین، بد نیست,3
خیلی چاپ عالی داشتن ,4
عالی,5
خوشم اومد. جالب بود,5
دخترم سفارش دادهطرح هاشون قشنگه,4
حتمااااااا بخرید,5
نقاشی‌ها کاملا متفاوت بودند با عکس اصلی.من بر مبنای این تصاویر سفارش دادم.اگر می‌دونستم قراره فرق داشته باشه خب نمی‌گرفتم!,1
عالی.پیشنهاد میکنم,5
پیشنهاد میکنم ,5
با کیفیته و سایز مناسبی داره,5
توصیه میکنم,5
😍😍😍😍😍😍😍😍😍😍,4
خیلی گوگولیه,5
معمولی ,3
نمکه خیلی دوست زیاد,5
به نظرم قیمتش اصلا منطقی نیس و برای این اندازه زیاده,2
خوب ,5
قشنگه یکم قیمتش بالاست,4
خییییلی گوگولی و خوشگل بودهر بار رو لپتاپم میبینمش قلبم میره براش ,5
بسیار بانزه و با کیفیت و قیمتی مناسب,5
بسیار باکیفیت,5
کیفیتش خوبه,4
بنظرم کیفیتش خوب بود ,5
بهترین کیفیت و زیبا ، همونی که تو عکسه,5
خیلی زیباست توصیف دیگه ای نمیشه کرد,5
خیلی بامزه هست,4
طرحش قشنگ بود,4
خیلی قشنگ,5
عالیه ,5
عالی,5
جنس و طراحی عالی مخصوصا برای سرفیس کاملا راضی ام,5
"کیفیت و کارایی و ارگونومی کیف بی نظییر، با یه کیف لاکچری و منحصر به فرد روبه رو هستین، یه سر و گردن از کیف های بازار بالاتره، من برای سرفیس پرو ۷ پلاس گرفتم.
تنها مشکلی که داره خیلی جای موس تعبیه نشده و برای لپتاپتون حتما باید یه سایز بزرگتر سفارش بدین",4
راضی هستم,5
در خرید شک نکید ,5
به شدت با کیفیت و برآورده کننده انتظارات و ارزنده نسبت به قیمت ,4
عالی و درجه یک,5
کیفیت کاور بسیار خوب و رنگ مشکی آن واقعا زیباست. روی زیپ اطراف کاور پوشش پلاستیکی که برای مقاومت در برابر آب است قرار دارد. من مدل ۱۴ اینچی گرفتم برای سرفیس ۱۳.۵ اینچ که خب تقریبا اندازه یک بند انگشت فضای خالی اطراف داره . محافظت داخلی، قسمت لپ تاپش خوبه فقط اینکه زیپ نصفه است و کاور برای قرارگیری لپ تاپ کامل باز نمیشه. در کل واقعا محصول با کیفیت با طراحی مینیمال و با باکسینگ بسیار خوب عرضه شده است.به نسبت این کیفیت قیمتش خوب به حساب میاد.,5
سلام ..‌.ینی ما خریم که چیزی که سفارش میدیم جاش یچی دیگه میفرستید اونم چون تو انبارتون نبوده!!بارها شنیدم که دیجی کالا ازینکارا زیاد میکنه،لطفا مشتری رو احمق فرض نکنید,1
برای پسرم خریدم و خیلی راضیه,4
عالی,5
محصول مشابه عکس سایت نیست. فکر کنم قیمتش متناسب محصول نباشه. ما دنبال کار با کیفیت هستیم کاری به قیمت نداریم بهترین خرید ، خرید حضوری است,2
کیف خیلی زیبا و جمع و جور و شکیلی هست، از همه بهتر محل قرارگرفتن وسایل جانبی هست که تفکیک شده ، تنها مشکل دسته های کیف هست که اگه خیلی کیف رو سنگین کنید حمل و نقلش کمی از اون حالت راحتی خارج میشه ، چون لبه های دسته  کیف کمی تیزه,5
بنظر که خوب و با کیفیت هست,4
عاااالیه مشکیش با کیفیت ترین و زیباترین ,5
 بسصیار جمع و جور - با کیفیت و زیبا است ,5
خیلی برای کیف همراه جلسات و ماموریت های یک روزه مناسب است.,4
"من این کیفو برای مک بوک پرو ۱۳ اینچ گرفتم حدودا یک میلیون و دویست هزار تومن، بسیار جمع و جور و کار راه اندازه و من به شدت از خریدش راضی هستم.
برای افرادی که دنبال فضای بیشتر هستند کیف‌های چمدونی با حجم بالا رو توصیه میکنم",5
فقط کاش یکم جا برای شارژر هم تعبیه کرده بودن !,4
خیلی سبک و شیک,5
بسیار با کیفیت و جادار و شیک,5
در کل بد نیست . خوشگله,4
عالیخرید کنیدواقعا مثل عکس هست,5
"مثله عکسشه
راضی ام",5
خوبه ارزش خرید داره,4
پیشنهاد میکنم اگ لازم دارین همینو بخرین قیمتشم عالیع,5
Great,2
"خیلی جادار و قشنگه مثل عکسشه
لپ تاپ من ۱۵.۴ اینچ هست راحت جا شد، حتی بزرگترم جا میشه
 فقط بسته بندی نامناسب دیجی کالا باعث شده له بشه ...",5
"به نظرم خیلی عالیه ولی تنها ایرادش اینه که یه کوچولو کم رنگه ولی در کل عالیه 
من از کارنیا مارکت گرفتم ولی به نظرم از پازل شاپ بگیرین دیگه مال اون بی نظیره",5
کیفیت چاپ معمولی ای داره ولی خیلی زیباست,4
خوب بود ولی تعدادش کم بود,3
اصلا در خریدش شک نکنید! به من که حس خیلی خوبی میدن*,5
ارزش خرید داره خوبه,5
خوب بود,4
خوشبختانه سالم به دستم رسید و خیلی  دوسشون دارم اما یکم دقت کنید یه کم کیفیت چاپ پایینه ولی زیاد مهم نیست ولی من خیلی دوستشون دارم عالیییی پیشنهاد میکنم,5
فکر کنم زیبا تر باشه,5
کیفیت خوبی داشتن,5
عالی بود,5
خیلی کیوت‌و با نمکن,5
خوب,4
خوب بودن راضیم ,5
کیفیت چاپ پایین بود ,3
خیلی خوب بود پیشنهاد میکنم بخرید,5
خیلی قشنگ و خوبه و بر خلاف بقیه که میگفتن کوچیکه واسه من اندازه اش خوب بود. ,5
مناسبه ,4
خوب نبود اصلااااااااااا,1
برای دخترم گرفتم خوب بود,4
جنس خوب وخوشگلن.,4
"خوب بود منتهی چیزی که فرستادن با چیزی که تو عکس هست متفاوته،تایمینگ رمی که تصویرشو گذاشتن f2_10_9 هستش اما محصول ارسالی تایمینگش f2_11_9 هستش و
همیشه برام سوال بوده چرا محصول ارسالی با چیزی که آگهی کردن متفاوته و هنوزم دلیلشو متوجه نشدم!!!
در کل پیشنهاد میکنم اما اونیکه عکسشو گذاشتن مسلما بهتره.",3
استفاده میکنم. راضی ام. سالمه. ,5
بسته‌بندی عالی بنظر کیفیت هم خوب باشه,5
خوب بود بسته بندی و چیپ ست اکی بود,4
رم سالمه ولی کالا استوکه,3
چیپ هاینیکس بگیرید.,5
خوب بود. بدون مشکل نصب و شناخته شد,4
من برای اچ پی ۶۳۰ نصب کردم جواب داد,4
خوب,3
از دی جی نخرید تو بازار ارزون تره,1
با کیفیت,5
نصب کردم سیستم شناخت، و تو نرم‌افزار‌هایی‌ که رم تاثیر داره، سرعت به طور محسوس اضافه شد,4
عالی بود و سازگار,5
اول اینکه یه مدل دیگه فرستادن ولی زیاد فرقی با رم  قبلیم نداشت وسازگار شد و در ضمن پلمپ نبود و با منگنه یه طوری مثلا پلمپ کرده بودن، در کل جنسش خوبه و مشکلی نداره,4
عالی,5
خوب بود و کارمو راه انداخت.,4
سالم بود ولی پک قبلا باز شده بود. و با نوار چسب پول بسته بودنش,3
راحت نصب شد و مشکل خاصی نداشت. بسته بندی هم خوب بود. ارتقا رم و نصب ویندوز روی هارد ssd در افزایش سرعت کامپیوتر خیلی موثره,5
عالی,4
توضیح خاصی نداره ،، وهم این بود که سالم باشه که تست گرفتم سالم بود,4
عالی,5
خوبه بد نیست ,4
عالی,4
خوب,5
برای ۱۵ اینچ کوچکه,1
عالی ,5
تو شگفت انگیز خریدم، چیز راحت و کاربردیه,0
خیلی مزخرفه,1
خیلیییی خوبببب,4
برای من که لپ تاپم ۱۵.۶ هست کوچیک بود,3
به کیبورد لپتاپ من نخورد لپتاپم asus q530vj,4
برای لپتاب مدل ایسوس ۱۵.۵ اینچی بسیار کاربردیه,5
بخاطر جنس خاصش کاملا روی لب تاب می افتد و کاربردیه,4
من برای ایسوس q530 گرفتم کاملا اندازه بود فقط اون ردیف آخر بالا بهش نمیخورد(منظورم دکمه های fهست),3
برای لپتاپ ایسوس x515 گرفتمعالی بودپیشنهاد میدم,5
برای لب تاب من به کلیدهای بالا کلا نخورد و روی هم نمیفته.فک کنم اشتباهی سفارش دادم ,2
عالی,5
عالی بود خیلی زیبا میکنه,5
راضیم خیلی محافظ خوبیه و پیشنهاد میکنم بخرین,5
عالیه بخرید حتما,5
عالی,5
جنس و طراحی عالی مخصوصا برای سرفیس کاملا راضی ام,5
"کیفیت و کارایی و ارگونومی کیف بی نظییر، با یه کیف لاکچری و منحصر به فرد روبه رو هستین، یه سر و گردن از کیف های بازار بالاتره، من برای سرفیس پرو ۷ پلاس گرفتم.
تنها مشکلی که داره خیلی جای موس تعبیه نشده و برای لپتاپتون حتما باید یه سایز بزرگتر سفارش بدین",4
راضی هستم,5
در خرید شک نکید ,5
به شدت با کیفیت و برآورده کننده انتظارات و ارزنده نسبت به قیمت ,4
عالی و درجه یک,5
کیفیت کاور بسیار خوب و رنگ مشکی آن واقعا زیباست. روی زیپ اطراف کاور پوشش پلاستیکی که برای مقاومت در برابر آب است قرار دارد. من مدل ۱۴ اینچی گرفتم برای سرفیس ۱۳.۵ اینچ که خب تقریبا اندازه یک بند انگشت فضای خالی اطراف داره . محافظت داخلی، قسمت لپ تاپش خوبه فقط اینکه زیپ نصفه است و کاور برای قرارگیری لپ تاپ کامل باز نمیشه. در کل واقعا محصول با کیفیت با طراحی مینیمال و با باکسینگ بسیار خوب عرضه شده است.به نسبت این کیفیت قیمتش خوب به حساب میاد.,5
سلام ..‌.ینی ما خریم که چیزی که سفارش میدیم جاش یچی دیگه میفرستید اونم چون تو انبارتون نبوده!!بارها شنیدم که دیجی کالا ازینکارا زیاد میکنه،لطفا مشتری رو احمق فرض نکنید,1
برای پسرم خریدم و خیلی راضیه,4
عالی,5
محصول مشابه عکس سایت نیست. فکر کنم قیمتش متناسب محصول نباشه. ما دنبال کار با کیفیت هستیم کاری به قیمت نداریم بهترین خرید ، خرید حضوری است,2
کیف خیلی زیبا و جمع و جور و شکیلی هست، از همه بهتر محل قرارگرفتن وسایل جانبی هست که تفکیک شده ، تنها مشکل دسته های کیف هست که اگه خیلی کیف رو سنگین کنید حمل و نقلش کمی از اون حالت راحتی خارج میشه ، چون لبه های دسته  کیف کمی تیزه,5
بنظر که خوب و با کیفیت هست,4
عاااالیه مشکیش با کیفیت ترین و زیباترین ,5
 بسصیار جمع و جور - با کیفیت و زیبا است ,5
خیلی برای کیف همراه جلسات و ماموریت های یک روزه مناسب است.,4
"من این کیفو برای مک بوک پرو ۱۳ اینچ گرفتم حدودا یک میلیون و دویست هزار تومن، بسیار جمع و جور و کار راه اندازه و من به شدت از خریدش راضی هستم.
برای افرادی که دنبال فضای بیشتر هستند کیف‌های چمدونی با حجم بالا رو توصیه میکنم",5
فقط کاش یکم جا برای شارژر هم تعبیه کرده بودن !,4
خیلی سبک و شیک,5
قابل قبول و ظاهرش بد نیست ,3
خوبه جنسش,4
عالی بود,5
بسیار عالی,5
برای سرفیس پرو ۵ گرفتم دقیقا اندازه بود و جنسش بسیار خوبه,5
برای سورفیس پرو ۶ گرفتم. خیلی زیبا و شیک بودش و اندازشم کاملا فیت بود‌ بنظرم ارزش کالا با قیمتش تطابق داشت,5
کیفیت خوبی داره ,5
خیلی خوبه توصیه میکنم ,5
برای لپ تاپ ۱۲/۴ گرفتم، فیت بود و کیفیت هم عالی,5
جنس کاور خوبه، زیپ خوبی هم داره,4
راضیم. برای مک بوک ایر ۲۰۲۰ فیت بود.  جنسش خوبه و راضی کنندس.,4
میترسیدم گشاد باشه ولی وقتی مکو کردم توش اندازش بود,5
"کیفیت قابل قبولی داره. من برای سرفیس پرو ۶ گرفتم که اندازش درست بود 
عکس گذاشتم",4
خیلی با کیفیت و برای لپتاپ ۱۳ و ۱۳.۳ اینچی پیشنهاد میکنم,4
عالی عالی عالی,4
خوب,4
جنس عالی و ساخته شده از مواد اولیه هست من برای سورفیس پرو ۵ گرفتم عالی بود ولی یک مقداری از سایز سورفیس بزرگتره که اگه بخواید موس یا شارژر رو حمل کنید جوابگو هست.,4
خیلی خاصه و کمتر شبیهش رو میتونی ببینی، فضای مناسب داره.,5
عالی,5
عالی بود. محکم درعین حال ظریف و جمع و جور ,5
خوب,5
برای لپتاپ 15.6 گرفتم عالی هست.. یه جاش می‌سایید به لپتاپ که من سیلیکون اظافه کردم..,5
نسبت به قیمت کیفیت لازم رو حس نمیشه . جنس خوبی داره اما لبه های تیز و یراقی که لق هم میزنه . در کل کالایی هستش که حس پریمیوم بودن رو نمیده . اما ظاهرا از بقیه بهتره ,3
از همه نظر کالای مناسبی هست خصوصا برای جا به جایی همچنین کیفیت پیچ و مهره و اتصالاتش بالا هستش,4
قبلا دیده بودم میترسیدم به اون خوبی نباشه ولی دقیقا همونطور بود. خوب و محکم و جمع و جور,4
الان یک سالی شده که خریداری کردم و بسیار از خریدم راضی هستم. خوبیش اینه که به متریال عالی داره و قابلیت حمل راحتی داره!,5
